Date,VTI,VXUS,BND,VOO,VBR,VTV,MTUM,DFUS,DFAX,DFAI,DFAE
2023-06-05 00:00:00+00:00,204.9686921072,51.4428510973,66.3262369273,379.2588951889,148.6952162577,129.9271883379,134.8674338255,44.9374044941,21.4076317483,25.2579965529,21.8284303719
2023-06-06 00:00:00+00:00,205.9058574682,51.8770069604,66.4175325046,380.0415695968,152.0981347657,130.3510482389,134.5744984783,45.1413123364,21.5647011223,25.4630430194,21.9878989221
2023-06-07 00:00:00+00:00,205.5000745284,51.4890378913,66.0432206376,378.7950881324,155.3114756411,131.4719221995,133.7156725805,45.0053737749,21.4492089355,25.2579965529,21.922235401400002
2023-06-08 00:00:00+00:00,206.4662243851,51.9416684719,66.371884716,381.06581018,154.55316511,131.7168190312,134.9410728057,45.238411309,21.629376747,25.5096444891,22.0817039516
2023-06-09 00:00:00+00:00,206.6884388522,51.9786179071,66.23494135,381.7035448828,153.5673614197,131.6979808134,135.2645784652,45.316090487,21.6570948718,25.4816836073,22.1848894841
2023-06-12 00:00:00+00:00,208.5434465771,52.1633650829,66.371884716,385.2110857478,154.0981787914,132.0747451699,136.9409259734,45.733616069,21.7217704964,25.5655662526,22.2317919989
2023-06-13 00:00:00+00:00,210.0796248493,52.6529450987,66.0797388685,387.7523619118,155.8991663026,133.0166560611,137.8624269427,46.0443327811,21.9250367452,25.8078938948,22.4475435668
2023-06-14 00:00:00+00:00,210.0796248493,52.8654043509,66.1345162149,388.0519039691,154.7143060979,132.5362815066,138.98979515,46.0734624729,22.0174304947,25.9010968342,22.5976316141
2023-06-15 00:00:00+00:00,212.6399219697,53.3549843667,66.5453463129,393.0281671799,156.1645749885,134.1469491306,140.4798818239,46.6560563081,22.2022179936,26.1434244764,22.7946221761
2023-06-16 00:00:00+00:00,211.8380175886,53.2256613436,66.3992733892,391.5787701282,155.6337576168,134.109272695,139.7348384869,46.461858363,22.1467817439,26.0968230067,22.7101976495
2023-06-20 00:00:00+00:00,210.7945757433,52.4571130924,66.4905689665,389.7718551371,154.4299396487,132.9789796255,139.1270399752,46.2094010344,21.8234036208,25.7240112495,22.3349775314
2023-06-21 00:00:00+00:00,209.6351959152,52.5038080479,66.6001236593,387.6364101476,154.2972353058,132.9695605166,138.7643215085,45.9948123051,21.8621267651,25.7937195918,22.2847130443
2023-06-22 00:00:00+00:00,210.1955628321,52.2236383145,66.2805891387,389.0471566113,152.8374875335,132.498605071,139.1564495806,46.1604364968,21.7123861709,25.6237756121,22.2185582558
2023-06-23 00:00:00+00:00,208.4627730641,51.4111460875,66.472309851,386.1290372139,150.9392466967,131.5480285995,138.0879005842,45.7804751158,21.3848286209,25.255563656,21.8877843133
2023-06-26 00:00:00+00:00,207.7353743491,51.5418919631,66.5544758706,384.534700457,152.5310909782,132.0600362069,137.2644316328,45.575880526,21.4784164923,25.3122116492,22.0011925221
2023-06-27 00:00:00+00:00,210.2667218772,51.9808245455,66.4266620624,388.795927789,154.9236234014,132.8944189744,139.3231040113,46.1312086983,21.6375158737,25.5010382934,22.1996568877
2023-06-28 00:00:00+00:00,210.4412975688,51.9247905988,66.6366418902,388.9698554352,154.9808154115,132.5910070589,139.1074335716,46.1701790964,21.6375158737,25.52936229,22.0578966266
2023-06-29 00:00:00+00:00,211.4499571203,51.8314006877,66.1345162149,390.454231269,157.030195774,133.5960590289,139.6466096707,46.3845162857,21.590721938,25.4915969612,21.9728404699
2023-06-30 00:00:00+00:00,213.6418519147,52.3730621723,66.3627551582,395.081362727,157.6593078852,134.7338537119,141.4111859951,46.9203592589,21.8153328294,25.7937195918,22.1713048355
2023-07-03 00:00:00+00:00,214.2819627839,52.587858968,66.1750258885,395.8380005755,158.5839120488,135.2553429416,140.921025905,46.9495870575,21.9463558494,25.8314849207,22.4170226214
2023-07-05 00:00:00+00:00,213.6321532652,52.0835534478,65.9004407188,394.9552564189,156.9348757571,134.6769639778,140.5485042365,46.8229332638,21.7311037452,25.5482449544,22.2941637284
2023-07-06 00:00:00+00:00,211.7312179567,51.1496543363,65.4794101254,391.7346953203,155.1333274385,133.35901847,139.1172367734,46.4527144823,21.394187408,25.1045023407,21.9066856814
2023-07-07 00:00:00+00:00,211.4693544193,51.6446208654,65.4427987694,390.822849708,156.7728317285,133.1504227781,138.5780606743,46.3747736861,21.6281570866,25.3499769781,22.1335020992
2023-07-10 00:00:00+00:00,212.390726125,51.7286717854,65.6716197441,391.8705021136,158.4695280285,133.9373974338,140.0975569536,46.5598830769,21.6749510223,25.4160663035,22.114600731
2023-07-11 00:00:00+00:00,214.0588938447,52.2329773056,65.808912329,394.38292779,160.366396364,135.2268980746,140.4700786221,46.8911314604,21.8902031266,25.6520996087,22.369769201
2023-07-12 00:00:00+00:00,215.6979656158,53.2042323816,66.3306241513,397.4870830658,161.5007045647,135.5682364795,142.058197314,47.2613502419,22.2739133994,26.1241662191,22.8045006684
2023-07-13 00:00:00+00:00,217.521311728,53.9606906619,66.7333490668,400.7270451349,162.4157767265,135.8621667726,142.754224642,47.6705394215,22.5453182266,26.5112608396,23.0502184543
2023-07-14 00:00:00+00:00,217.2012562934,53.6618429462,66.4221525412,400.4069291221,160.7858044382,135.4260121441,142.6267830186,47.5925986254,22.4049364194,26.3413168599,22.9462609295
2023-07-17 00:00:00+00:00,218.0256415037,53.6898599195,66.4953752531,401.8037989962,161.8057286186,135.4734202559,143.4894647771,47.7971932152,22.442371568,26.3224341955,23.012415718
2023-07-18 00:00:00+00:00,219.7616997701,53.8486227685,66.577750804,404.8497513605,163.8551089811,136.4405457364,144.4991945628,48.2063823948,22.507883078,26.5207021718,22.8706554569
2023-07-19 00:00:00+00:00,220.3339200926,53.8206057951,66.7333490668,405.7227950319,164.9226931699,137.2085571474,144.0776568853,48.3038083899,22.507883078,26.4923781752,22.832852720600002
2023-07-20 00:00:00+00:00,218.7433415691,53.5124190884,66.4221525412,403.0745625622,164.5128170974,138.412723187,142.803240651,47.9530748074,22.4049364194,26.3696408565,22.6816417754
2023-07-21 00:00:00+00:00,218.7239442701,53.5964700084,66.4679167361,403.1230649884,163.6263409406,138.8393961931,142.4993413951,47.9433322079,22.4049364194,26.4074061853,22.6627404073
2023-07-24 00:00:00+00:00,219.4998362327,53.7085379018,66.3580826683,404.8303503901,164.5128170974,139.55051787,142.3915061753,48.1186989991,22.4891655037,26.3790821887,22.9557116135
2023-07-25 00:00:00+00:00,220.0526592561,53.9139957063,66.2848599564,406.0235100742,164.4270290823,139.3608854228,143.4502519699,48.2550953923,22.573394588,26.435730182,23.1163732428
2023-07-26 00:00:00+00:00,220.2175362982,54.0914365375,66.5045280921,406.1205149266,165.5613372829,139.5220730029,142.6169798168,48.2356101933,22.6295473108,26.4923781752,23.2014293994
2023-07-27 00:00:00+00:00,218.5202726299,53.7458938662,65.9370520748,403.3655771193,163.7693209659,138.6497637459,142.2640645519,47.9530748074,22.4985242908,26.3979648531,22.9368102454
2023-07-28 00:00:00+00:00,220.7994552702,54.4089622354,66.1658730495,407.2942736402,165.3325692424,139.1048816191,143.597299997,48.4596899821,22.769929118,26.5679088329,23.4660485535
2023-07-31 00:00:00+00:00,221.4686620879,54.4089622354,66.2848599564,408.0800129444,166.2285774009,139.3893302899,143.8619864456,48.5863437758,22.7886466923,26.5962328295,23.4660485535
2023-08-01 00:00:00+00:00,220.8673458169,53.7645718485,65.875416857,406.8189498636,165.9426173503,139.0669551297,143.8815928492,48.4596899821,22.507883078,26.2752275344,23.1825280313
2023-08-02 00:00:00+00:00,217.7346820177,52.7186048436,65.66433653,401.182967941,164.4174970806,138.2325723621,141.4994148113,47.7679654166,22.0867376566,25.8126022563,22.6532897232
2023-08-03 00:00:00+00:00,217.1042697981,52.6532319058,65.2605306869,400.0480111683,163.7788529676,137.8438258455,141.4602020041,47.6315690234,22.0680200823,25.7181889342,22.7099938276
2023-08-04 00:00:00+00:00,216.1828980924,52.7933167725,65.8019976128,398.0885131504,163.8455769794,137.2275203922,141.3523667843,47.3977466351,22.1616079537,25.8409262529,22.7383458798
2023-08-07 00:00:00+00:00,217.8413671626,53.0828254971,65.7010461521,401.6776926881,165.2563132289,138.6213188788,143.2541879339,47.8069358147,22.2645546123,26.0486355615,22.7288951958
2023-08-08 00:00:00+00:00,216.8327076111,52.6438929147,65.9396586957,399.9413058307,164.13153703,137.9955318032,142.9698950816,47.5536282273,22.0773788694,25.8786915817,22.4831774099
2023-08-09 00:00:00+00:00,215.2809236858,52.6905878702,65.9580135068,397.2833728758,163.1402088547,137.5688587971,141.6856756456,47.2028946448,22.1054552309,25.8881329139,22.5209801462
2023-08-10 00:00:00+00:00,215.319718284,52.830672737,65.5909172858,397.5161845215,162.6254807636,137.3507814828,141.76410126,47.2126372443,22.1241728051,25.9636635716,22.5304308302
2023-08-11 00:00:00+00:00,215.1160466438,52.4197571279,65.3798369587,397.1475660825,162.7779927906,137.9291604467,141.16610595,47.1736668463,21.9931497851,25.8409262529,22.2563609921
2023-08-14 00:00:00+00:00,216.1828980924,52.18628235,65.297240309,399.3883781722,162.2727967012,137.7964177337,142.8816662654,47.4269744336,21.8714855523,25.7370715986,22.1335020992
2023-08-15 00:00:00+00:00,213.7291397605,51.5418919631,65.1504018206,394.8097491404,159.9088602831,136.0233543527,142.0483941122,46.9301018584,21.6187982994,25.3783009747,21.9161363655
2023-08-16 00:00:00+00:00,211.9639855455,51.1403153452,64.9668537101,391.8899030841,158.5553160437,135.264824564,140.6465362545,46.5598830769,21.4784164923,25.208356995,21.7554747362
2023-08-17 00:00:00+00:00,210.2279272791,50.9161795584,64.9026118714,388.7178444116,157.1064517875,134.6959272225,138.8035343157,46.1799216959,21.4316225566,25.0572956796,21.8121788407
2023-08-18 00:00:00+00:00,210.4703935174,50.8321286384,65.0402729543,389.0767623654,157.5830518718,135.0183023827,139.1760559842,46.1896642954,21.3754698337,25.0384130152,21.6987706318
2023-08-21 00:00:00+00:00,211.6827247091,50.9815524962,64.7282411664,391.6473909532,157.1064517875,134.8002250684,140.6955522635,46.5014274798,21.4409813437,25.1233850051,21.7649254203
2023-08-22 00:00:00+00:00,211.1202030361,50.8881625851,64.8108378162,390.5512361214,156.0388675986,133.994287168,140.0975569536,46.3455458876,21.4129049823,25.0667370118,21.7082213159
2023-08-23 00:00:00+00:00,213.428481625,51.4951970075,65.3981917698,394.7612467142,157.4972638566,134.8286699355,141.862133278,46.8813888609,21.6468746609,25.3310943137,22.0578966266
2023-08-24 00:00:00+00:00,210.5673800128,50.9255185495,65.2421758758,389.5132842011,156.5345316863,133.861544455,139.5387744509,46.2481198925,21.4222637694,25.0006476864,21.9728404699
2023-08-25 00:00:00+00:00,212.0027801437,51.1963492919,65.2421758758,392.0936132741,156.877683747,134.5821477542,140.3426369987,46.5696256764,21.5158516409,25.1517090017,21.982291154
2023-08-28 00:00:00+00:00,213.3605910783,51.6726378387,65.3614821477,394.6739423471,158.3551440083,135.2837878087,141.5484308203,46.8716462614,21.7123861709,25.4066249713,22.1807555195
2023-08-29 00:00:00+00:00,216.4641589289,52.3357062079,65.7652879907,400.280822814,160.2806083489,136.4500273588,143.891396051,47.5731134264,22.0118673594,25.7465129308,22.4453746736
2023-08-30 00:00:00+00:00,217.4243252326,52.3170282256,65.7377557742,401.9493062747,160.7095484247,136.6396598059,144.3423433339,47.7777080161,21.9931497851,25.755954263,22.3792198851
2023-08-31 00:00:00+00:00,217.1915576439,52.01818051,65.8478846405,401.4351805572,160.5665683995,136.0707624644,144.3031305267,47.7289950186,21.9089207009,25.6615409409,22.1524034673
